Laboratory,Test,adult,assay,collection,container,external,note,row,specimen,testCode,testId,transport
Human Molecular,Factor IX Gene Mutation,,,"Test will only be performed following consultation with Laboratory Haematologist.

This test is batched and done only once 30 test requests are reached. This can take upto 12 months.

If this test is required urgently the requesting doctor needs to contact  Dr. Santraya on 95943756 or the lab on 95443398. This can take upto a month",Factor IX Gene MutationLaboratory:Human MolecularTest Code:F9GMSpecimen Types:Blood,"Factor IX Gene MutationLaboratory:Human MolecularTest Code:F9GMSpecimen Types:BloodContainer Types:EDTA 10 mLCollection & Request Instructions:Test will only be performed following consultation with Laboratory Haematologist.

This test is batched and done only once 30 test requests are reached. This can take upto 12 months.

If this test is required urgently the requesting doctor needs to contact  Dr. Santraya on 95943756 or the lab on 95443398. This can take upto a monthTransport Instructions between Sites and/or Laboratories:Room Temperature",,"Factor IX Gene MutationLaboratory:Human MolecularTest Code:F9GMSpecimen Types:BloodContainer Types:EDTA 10 mLCollection & Request Instructions:Test will only be performed following consultation with Laboratory Haematologist.

This test is batched and done only once 30 test requests are reached. This can take upto 12 months.

If this test is required urgently the requesting doctor needs to contact  Dr. Santraya on 95943756 or the lab on 95443398. This can take upto a monthTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Monash Pathology",Blood,F9GM,212,"Factor IX Gene MutationLaboratory:Human MolecularTest Code:F9GMSpecimen Types:BloodContainer Types:EDTA 10 mLCollection & Request Instructions:Test will only be performed following consultation with Laboratory Haematologist.

This test is batched and done only once 30 test requests are reached. This can take upto 12 months.

If this test is required urgently the requesting doctor needs to contact  Dr. Santraya on 95943756 or the lab on 95443398. This can take upto a month"
Human Molecular,Normandy (Von Willebrand Factor) Gene AnalysisAlternative Names:Factor VIII binding defectVon Willebrand Disease 2N (Subtype Normandy)VWD Type 2N,,,"VWF Bioassays must have been done previously to indicate gene testing is required.

This requst must be approved by the haematology registrar prior to sending",Normandy (Von Willebrand Factor) Gene AnalysisAlternative Names:Factor VIII binding defectVon Willebrand Disease 2N (Subtype Normandy)VWD Type 2NLaboratory:Human MolecularTest Code:NGASpecimen Types:Blood,"Normandy (Von Willebrand Factor) Gene AnalysisAlternative Names:Factor VIII binding defectVon Willebrand Disease 2N (Subtype Normandy)VWD Type 2NLaboratory:Human MolecularTest Code:NGASpecimen Types:BloodContainer Types:EDTA 10 mLCollection & Request Instructions:VWF Bioassays must have been done previously to indicate gene testing is required.

This requst must be approved by the haematology registrar prior to sendingTransport Instructions between Sites and/or Laboratories:Room Temperature",,"Normandy (Von Willebrand Factor) Gene AnalysisAlternative Names:Factor VIII binding defectVon Willebrand Disease 2N (Subtype Normandy)VWD Type 2NLaboratory:Human MolecularTest Code:NGASpecimen Types:BloodContainer Types:EDTA 10 mLCollection & Request Instructions:VWF Bioassays must have been done previously to indicate gene testing is required.

This requst must be approved by the haematology registrar prior to sendingTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:SA Pathology",Blood,NGA,213,"Normandy (Von Willebrand Factor) Gene AnalysisAlternative Names:Factor VIII binding defectVon Willebrand Disease 2N (Subtype Normandy)VWD Type 2NLaboratory:Human MolecularTest Code:NGASpecimen Types:BloodContainer Types:EDTA 10 mLCollection & Request Instructions:VWF Bioassays must have been done previously to indicate gene testing is required.

This requst must be approved by the haematology registrar prior to sending"
Clinical Biochemistry,Citrate Urine,,Weekly,This assay is used to identify idiopathic stone formers with low urinary citrate.,Citrate UrineLaboratory:Clinical BiochemistryTest Code:UCITRATETSpecimen Types:Urine 24 hour,Citrate UrineLaboratory:Clinical BiochemistryTest Code:UCITRATETSpecimen Types:Urine 24 hourContainer Types:Urine Bottle PLAINCollection & Request Instructions:This assay is used to identify idiopathic stone formers with low urinary citrate.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Weekly,,"Citrate UrineLaboratory:Clinical BiochemistryTest Code:UCITRATETSpecimen Types:Urine 24 hourContainer Types:Urine Bottle PLAINCollection & Request Instructions:This assay is used to identify idiopathic stone formers with low urinary citrate.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:NSW Health Pathology, (SSWPS) - Concord Hospital",Urine 24 hour,UCITRATET,214,Room Temperature
Clinical Biochemistry,Diuretic Screen UrineAlternative Names:Urine Diuretic Screen,Diuretic Screen UrineAlternative Names:Urine Diuretic ScreenLaboratory:Clinical BiochemistryTest Code:UDIURSpecimen Types:Urine randomContainer Types:Plain 70mL pot,Diuretic Screen UrineAlternative Names:Urine Diuretic ScreenLaboratory:Clinical BiochemistryTest Code:UDIURSpecimen Types:Urine randomContainer Types:Plain 70mL potAdults Volume or Mass:50 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,Plain 70mL pot,,"Urine Diuretic Screen  is able to detect the following diuretic compounds;

Hydrochlorothiazide, Furosemide, Spironolactone, Indapamide, Acetazolamide, Amiloride, Bumetanide, Chlorthalidone,Tolvaptan","Diuretic Screen UrineAlternative Names:Urine Diuretic ScreenLaboratory:Clinical BiochemistryTest Code:UDIURSpecimen Types:Urine randomContainer Types:Plain 70mL potAdults Volume or Mass:50 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeekdaysAdditional Notes:Urine Diuretic Screen  is able to detect the following diuretic compounds;

Hydrochlorothiazide, Furosemide, Spironolactone, Indapamide, Acetazolamide, Amiloride, Bumetanide, Chlorthalidone,Tolvaptan",Urine random,UDIUR,215,Room Temperature
Clinical Biochemistry,Oestriol Urine,,,,Oestriol UrineLaboratory:Clinical BiochemistryTest Code:*INACTIVATED TEST*Specimen Types:Urine 24 hour,,,Oestriol UrineLaboratory:Clinical BiochemistryTest Code:*INACTIVATED TEST*Specimen Types:Urine 24 hourContainer Types:Urine Bottle PLAINTransport Instructions between Sites and/or Laboratories:Room Temperature,Urine 24 hour,*INACTIVATED TEST*,216,Oestriol UrineLaboratory:Clinical BiochemistryTest Code:*INACTIVATED TEST*Specimen Types:Urine 24 hourContainer Types:Urine Bottle PLAIN
Haematology,Glomerular Basement Membrane Antibodies,,,,Glomerular Basement Membrane AntibodiesLaboratory:HaematologyTest Code:GBMSpecimen Types:Serum,Glomerular Basement Membrane AntibodiesLaboratory:HaematologyTest Code:GBMSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room Temperature,,Glomerular Basement Membrane AntibodiesLaboratory:HaematologyTest Code:GBMSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Monash Pathology,Serum,GBM,217,Glomerular Basement Membrane AntibodiesLaboratory:HaematologyTest Code:GBMSpecimen Types:SerumContainer Types:SST
Clinical Biochemistry,Fluoxetine,2 mL,Weekly,Collect pre-doseWithin 1 hour of next dose.,Lithium Heparin (without Gel),"NSW Health Pathology, (SSWPS) - RPA","Must be approved by Chemical Pathologist

Analysis performed by Drug Unit, Chemical Pathology Dept, RPA

(02)65154622","FluoxetineLaboratory:Clinical BiochemistryTest Code:FLUOXETINESpecimen Types:PlasmaContainer Types:Lithium Heparin (without Gel)Adults Volume or Mass:2 mLCollection & Request Instructions:Collect pre-doseWithin 1 hour of next dose.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:NSW Health Pathology, (SSWPS) - RPAAdditional Notes:Must be approved by Chemical Pathologist

Analysis performed by Drug Unit, Chemical Pathology Dept, RPA

(02)65154622",Plasma,FLUOXETINE,218,Room Temperature
Human Molecular,Kennedy,,,,KennedyLaboratory:Human MolecularTest Code:MS KENNEDYSpecimen Types:Blood,KennedyLaboratory:Human MolecularTest Code:MS KENNEDYSpecimen Types:BloodContainer Types:EDTA 10 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,KennedyLaboratory:Human MolecularTest Code:MS KENNEDYSpecimen Types:BloodContainer Types:EDTA 10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Melbourne Health Shared Pathology Service,Blood,MS KENNEDY,219,KennedyLaboratory:Human MolecularTest Code:MS KENNEDYSpecimen Types:BloodContainer Types:EDTA 10 mL
Human Molecular,Methylene tetrahydrofolate reductase mutation,,,"For identification of carriers of inherited venous thrombophilia. General population screening and routine screening before prescribing oral contraceptives or hormone replacement therapy are not recommended. test should only be requested by a practioner skilled in genetic counselling of thrombophilia. The significance of a polymorphism in an affected individual is uncertain. Test is Methyl Tetrahydrofolate Reductase C677T.

 

 Homozygous mutation may be associated with increased thrombotic risk.",Methylene tetrahydrofolate reductase mutationLaboratory:Human MolecularTest Code:MS MTHFRSpecimen Types:Blood,"Methylene tetrahydrofolate reductase mutationLaboratory:Human MolecularTest Code:MS MTHFRSpecimen Types:BloodContainer Types:EDTA 3 mLCollection & Request Instructions:For identification of carriers of inherited venous thrombophilia. General population screening and routine screening before prescribing oral contraceptives or hormone replacement therapy are not recommended. test should only be requested by a practioner skilled in genetic counselling of thrombophilia. The significance of a polymorphism in an affected individual is uncertain. Test is Methyl Tetrahydrofolate Reductase C677T.

 

 Homozygous mutation may be associated with increased thrombotic risk.Transport Instructions between Sites and/or Laboratories:Room Temperature",,"Methylene tetrahydrofolate reductase mutationLaboratory:Human MolecularTest Code:MS MTHFRSpecimen Types:BloodContainer Types:EDTA 3 mLCollection & Request Instructions:For identification of carriers of inherited venous thrombophilia. General population screening and routine screening before prescribing oral contraceptives or hormone replacement therapy are not recommended. test should only be requested by a practioner skilled in genetic counselling of thrombophilia. The significance of a polymorphism in an affected individual is uncertain. Test is Methyl Tetrahydrofolate Reductase C677T.

 

 Homozygous mutation may be associated with increased thrombotic risk.Transport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Melbourne Health Shared Pathology Service",Blood,MS MTHFR,220,"Methylene tetrahydrofolate reductase mutationLaboratory:Human MolecularTest Code:MS MTHFRSpecimen Types:BloodContainer Types:EDTA 3 mLCollection & Request Instructions:For identification of carriers of inherited venous thrombophilia. General population screening and routine screening before prescribing oral contraceptives or hormone replacement therapy are not recommended. test should only be requested by a practioner skilled in genetic counselling of thrombophilia. The significance of a polymorphism in an affected individual is uncertain. Test is Methyl Tetrahydrofolate Reductase C677T.

 

 Homozygous mutation may be associated with increased thrombotic risk."
Human Molecular,LHON Mutation Analysis,,,,LHON Mutation AnalysisLaboratory:Human MolecularTest Code:MS LHONSpecimen Types:Blood,LHON Mutation AnalysisLaboratory:Human MolecularTest Code:MS LHONSpecimen Types:BloodContainer Types:EDTA 10 mLTransport Instructions between Sites and/or Laboratories:Room Temperature,,LHON Mutation AnalysisLaboratory:Human MolecularTest Code:MS LHONSpecimen Types:BloodContainer Types:EDTA 10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureExternal Laboratory:Melbourne Neuromuscular Research Institute,Blood,MS LHON,221,LHON Mutation AnalysisLaboratory:Human MolecularTest Code:MS LHONSpecimen Types:BloodContainer Types:EDTA 10 mL
Clinical Biochemistry,Calcitonin,,Weekly,"Fasting SampleCollect on IceA marker of medullary carcinoma of the thyroid.
Endocrine consultation suggested.",CalcitoninLaboratory:Clinical BiochemistryTest Code:CALCITONINSpecimen Types:Serum,"CalcitoninLaboratory:Clinical BiochemistryTest Code:CALCITONINSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Fasting SampleCollect on IceA marker of medullary carcinoma of the thyroid.
Endocrine consultation suggested.Transport Instructions between Sites and/or Laboratories:On IceSend to lab immediatelyAssay Frequency:Weekly",,"CalcitoninLaboratory:Clinical BiochemistryTest Code:CALCITONINSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Fasting SampleCollect on IceA marker of medullary carcinoma of the thyroid.
Endocrine consultation suggested.Transport Instructions between Sites and/or Laboratories:On IceSend to lab immediatelyAssay Frequency:WeeklyExternal Laboratory:Melbourne Health Shared Pathology Service",Serum,CALCITONIN,222,On IceSend to lab immediately
Clinical Biochemistry,Anti-Thyroglobulin AntibodiesAlternative Names:ATGThyroglobulin Antibodies,,"Anti-Thyroglobulin AntibodiesAlternative Names:ATGThyroglobulin AntibodiesLaboratory:Clinical BiochemistryTest Code:ATGSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Lithium Heparin Plasma is not suitable for this assay.

Serum stability: 2-8C, 8 days; -20 C 2 months; Freeze/Thaw only onceTransport Instructions between Sites and/or Laboratories:Room Temperature","Lithium Heparin Plasma is not suitable for this assay.

Serum stability: 2-8C, 8 days; -20 C 2 months; Freeze/Thaw only once",Anti-Thyroglobulin AntibodiesAlternative Names:ATGThyroglobulin AntibodiesLaboratory:Clinical BiochemistryTest Code:ATGSpecimen Types:Serum,,"Assay performed on Roche Elecsys (ECLIA)

Reference Range : <115 IU/ml

Note: Thyroglobulin concentrations > 2000 ug/L may lead to falsely elevated anti-Thyroglobulin concentrations.

Note: Biotin supplementation may cause falsely high results due to interference with the anti TG Ab assay. If this patient is known to be taking Biotin, interpret results with caution and contact the Chemical Pathologist (03) 90763118 if further discussion is required.","Anti-Thyroglobulin AntibodiesAlternative Names:ATGThyroglobulin AntibodiesLaboratory:Clinical BiochemistryTest Code:ATGSpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Lithium Heparin Plasma is not suitable for this assay.

Serum stability: 2-8C, 8 days; -20 C 2 months; Freeze/Thaw only onceTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyAdditional Notes:Assay performed on Roche Elecsys (ECLIA)

Reference Range : <115 IU/ml

Note: Thyroglobulin concentrations > 2000 ug/L may lead to falsely elevated anti-Thyroglobulin concentrations.

Note: Biotin supplementation may cause falsely high results due to interference with the anti TG Ab assay. If this patient is known to be taking Biotin, interpret results with caution and contact the Chemical Pathologist (03) 90763118 if further discussion is required.",Serum,ATG,223,Room Temperature
Clinical Biochemistry,TSH Receptor AntibodiesAlternative Names:Thyrotropin-receptor AntibodiesAntibodies-TSH Receptor,,TSH Receptor AntibodiesAlternative Names:Thyrotropin-receptor AntibodiesAntibodies-TSH ReceptorLaboratory:Clinical BiochemistryTest Code:TSHR ASpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Indicative of Grave's Disease.Transport Instructions between Sites and/or Laboratories:Room Temperature,Indicative of Grave's Disease.,TSH Receptor AntibodiesAlternative Names:Thyrotropin-receptor AntibodiesAntibodies-TSH ReceptorLaboratory:Clinical BiochemistryTest Code:TSHR ASpecimen Types:Serum,,"Assay performed on Roche Elecsys (ECLIA)

Reference Interval: <= 1.8 IU/L   (Roche kit insert)

Serum Stability: 2-8C 6 days, -20C 12 months, Freeze/Thaw only once.

Note: Biotin supplementation may cause falsely high results due to interference with the anti TSH-Receptor Ab assay. If this patient is known to be taking Biotin, interpret results with caution and contact the Chemical Pathologist (03) 90763118 if further discussion is required.","TSH Receptor AntibodiesAlternative Names:Thyrotropin-receptor AntibodiesAntibodies-TSH ReceptorLaboratory:Clinical BiochemistryTest Code:TSHR ASpecimen Types:SerumContainer Types:SSTCollection & Request Instructions:Indicative of Grave's Disease.Transport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyAdditional Notes:Assay performed on Roche Elecsys (ECLIA)

Reference Interval: <= 1.8 IU/L   (Roche kit insert)

Serum Stability: 2-8C 6 days, -20C 12 months, Freeze/Thaw only once.

Note: Biotin supplementation may cause falsely high results due to interference with the anti TSH-Receptor Ab assay. If this patient is known to be taking Biotin, interpret results with caution and contact the Chemical Pathologist (03) 90763118 if further discussion is required.",Serum,TSHR A,224,Room Temperature
Haematology,Mannose Binding Lectin Assay,,AssayLaboratory:HaematologyTest Code:MBLSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureMonthly,,Mannose Binding Lectin AssayLaboratory:HaematologyTest Code:MBLSpecimen Types:Serum,Mannose Binding Lectin AssayLaboratory:HaematologyTest Code:MBLSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Monthly,,Mannose Binding Lectin AssayLaboratory:HaematologyTest Code:MBLSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:MonthlyExternal Laboratory:PathWest QEII Medical Centre,Serum,MBL,225,AssayLaboratory:HaematologyTest Code:MBLSpecimen Types:SerumContainer Types:SST
Clinical Biochemistry,IgDAlternative Names:Immunoglobulin D,,Weekly,,IgDAlternative Names:Immunoglobulin DLaboratory:Clinical BiochemistryTest Code:IGDSpecimen Types:Serum,"NSW Health Pathology, (SSWPS) - RPA","Ref Range: 0.01 - 0.14 g/L

(Source: SSWPS)

 

Assay performed by Immunochemistry Lab, Immunology Dept, RPA.

Scientist Ph: (02) 95157096","IgDAlternative Names:Immunoglobulin DLaboratory:Clinical BiochemistryTest Code:IGDSpecimen Types:SerumContainer Types:SSTTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:WeeklyExternal Laboratory:NSW Health Pathology, (SSWPS) - RPAAdditional Notes:Ref Range: 0.01 - 0.14 g/L

(Source: SSWPS)

 

Assay performed by Immunochemistry Lab, Immunology Dept, RPA.

Scientist Ph: (02) 95157096",Serum,IGD,226,Room Temperature
Clinical Biochemistry,Primidone,,,Collect pre-dose.,PrimidoneLaboratory:Clinical BiochemistryTest Code:PRIMSpecimen Types:SerumPlasma,," 
Phenobarbitone, a major metabolite of primidone, will also be measured.
Test no longer available on TDx(FPIA)- no sendaway referral lab available to our knowledge - consult Chemical Pathologist if requested.","PrimidoneLaboratory:Clinical BiochemistryTest Code:PRIMSpecimen Types:SerumPlasmaContainer Types:SSTLithium Heparin (with Gel)Collection & Request Instructions:Collect pre-dose.Transport Instructions between Sites and/or Laboratories:Room TemperatureAdditional Notes: 
Phenobarbitone, a major metabolite of primidone, will also be measured.
Test no longer available on TDx(FPIA)- no sendaway referral lab available to our knowledge - consult Chemical Pathologist if requested.",SerumPlasma,PRIM,227,PrimidoneLaboratory:Clinical BiochemistryTest Code:PRIMSpecimen Types:SerumPlasmaContainer Types:SSTLithium Heparin (with Gel)Collection & Request Instructions:Collect pre-dose.
Clinical Biochemistry,Sulphonyl Urea Screen,1 mL,Fortnightly,"This test is not routinely available.

Please order a Urine Drug Screen, noting in the clinical notes sulphonyl urea screen.

Screen is only reliable for specimens collected within 24 hrs of ingestion. Please supply adequate clinical notes",SST,"Sulphonyl Urea ScreenLaboratory:Clinical BiochemistryTest Code:SULPUSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:1 mLCollection & Request Instructions:This test is not routinely available.

Please order a Urine Drug Screen, noting in the clinical notes sulphonyl urea screen.

Screen is only reliable for specimens collected within 24 hrs of ingestion. Please supply adequate clinical notesTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:Fortnightly",,"Sulphonyl Urea ScreenLaboratory:Clinical BiochemistryTest Code:SULPUSpecimen Types:SerumContainer Types:SSTAdults Volume or Mass:1 mLCollection & Request Instructions:This test is not routinely available.

Please order a Urine Drug Screen, noting in the clinical notes sulphonyl urea screen.

Screen is only reliable for specimens collected within 24 hrs of ingestion. Please supply adequate clinical notesTransport Instructions between Sites and/or Laboratories:Room TemperatureAssay Frequency:FortnightlyExternal Laboratory:Melbourne Health Shared Pathology Service",Serum,SULPU,228,Room Temperature
Clinical Biochemistry,Retinol Binding Protein,,Weekly,,Retinol Binding ProteinLaboratory:Clinical BiochemistryTest Code:RBPSpecimen Types:Blood,Retinol Binding ProteinLaboratory:Clinical BiochemistryTest Code:RBPSpecimen Types:BloodContainer Types:SSTTransport Instructions between Sites and/or Laboratories:On IceAssay Frequency:Weekly,,"Retinol Binding ProteinLaboratory:Clinical BiochemistryTest Code:RBPSpecimen Types:BloodContainer Types:SSTTransport Instructions between Sites and/or Laboratories:On IceAssay Frequency:WeeklyExternal Laboratory:NSW Health Pathology, (SSWPS) - RPA",Blood,RBP,229,On Ice
Clinical Biochemistry,Vitamin B1Alternative Names:ThiamineTransketolase,2 mL,Weekly,Retrospective testing not possible.,EDTA 10 mL,"NSW Health Pathology, (SSWPS) - RPA",Must be approved by Chemical Pathologist,"Vitamin B1Alternative Names:ThiamineTransketolaseLaboratory:Clinical BiochemistryTest Code:B1Specimen Types:BloodContainer Types:EDTA 10 mLAdults Volume or Mass:2 mLCollection & Request Instructions:Retrospective testing not possible.Transport Instructions between Sites and/or Laboratories:Protect from LightSend to lab immediatelyAssay Frequency:WeeklyExternal Laboratory:NSW Health Pathology, (SSWPS) - RPAAdditional Notes:Must be approved by Chemical Pathologist",Blood,B1,230,Protect from LightSend to lab immediately
Clinical Biochemistry,TEST LEANNE,8 mLMinimum/Paediatric Volume or Mass:0.5 mL,,Fasting SampleLow fat diet for 72 hours,SSTLithium Heparin (without Gel)Lithium Heparin (with Gel)Lithium Heparin Microtainer (with Gel),,Freetext notes.,TEST LEANNELaboratory:Clinical BiochemistryTest Code:TESTSpecimen Types:SerumPlasmaContainer Types:SSTLithium Heparin (without Gel)Lithium Heparin (with Gel)Lithium Heparin Microtainer (with Gel)Adults Volume or Mass:8 mLMinimum/Paediatric Volume or Mass:0.5 mLCollection & Request Instructions:Fasting SampleLow fat diet for 72 hours Transport Instructions between Sites and/or Laboratories:Room TemperatureSend to lab immediatelyFreetext instructions - ? for whatAdditional Notes:Freetext notes.,SerumPlasma,TEST,231,TEST LEANNELaboratory:Clinical BiochemistryTest Code:TESTSpecimen Types:SerumPlasmaContainer Types:SSTLithium Heparin (without Gel)Lithium Heparin (with Gel)Lithium Heparin Microtainer (with Gel)Adults Volume or Mass:8 mLMinimum/Paediatric Volume or Mass:0.5 mLCollection & Request Instructions:Fasting SampleLow fat diet for 72 hours
Clinical Biochemistry,Vitamin  B2Alternative Names:Riboflavin,Vitamin  B2Alternative Names:RiboflavinLaboratory:Clinical BiochemistryTest Code:B2Specimen Types:BloodContainer Types:EDTA 10 mL,Weekly,,EDTA 10 mL,"NSW Health Pathology, (SSWPS) - RPA",Must be approved by Chemical Pathologist,"Vitamin  B2Alternative Names:RiboflavinLaboratory:Clinical BiochemistryTest Code:B2Specimen Types:BloodContainer Types:EDTA 10 mLAdults Volume or Mass:2 mLTransport Instructions between Sites and/or Laboratories:Protect from LightSend to lab immediatelyAssay Frequency:WeeklyExternal Laboratory:NSW Health Pathology, (SSWPS) - RPAAdditional Notes:Must be approved by Chemical Pathologist",Blood,B2,232,Protect from LightSend to lab immediately
Human Molecular,Channel Gene AnalysisAlternative Names:Myotonia Congenita,Channel Gene AnalysisAlternative Names:Myotonia CongenitaLaboratory:Human MolecularTest Code:MS CHANNELSpecimen Types:BloodContainer Types:EDTA 10 mL,,,EDTA 10 mL,PathWest Royal Perth Hospital,This requst must be approved by the haematology registrar / pathologist prior to sending,Channel Gene AnalysisAlternative Names:Myotonia CongenitaLaboratory:Human MolecularTest Code:MS CHANNELSpecimen Types:BloodContainer Types:EDTA 10 mLAdults Volume or Mass:10 mLTransport Instructions between Sites and/or Laboratories:Room TemperatureDeliver within 3 daysExternal Laboratory:PathWest Royal Perth HospitalAdditional Notes:This requst must be approved by the haematology registrar / pathologist prior to sending,Blood,MS CHANNEL,233,Channel Gene AnalysisAlternative Names:Myotonia CongenitaLaboratory:Human MolecularTest Code:MS CHANNELSpecimen Types:BloodContainer Types:EDTA 10 mLAdults Volume or Mass:10 mL
Haematology,Total Haemolytic ComplementAlternative Names:Haemolytic Complement; TotalCH100CH50classical pathwayAH50Alternate pathwayMannose pathway,3 mL,Fortnightly,"Collect at ambient temperatureSamples should be processed as “urgent” as Functional complement tests have precise collection requirements to ensure accurate and reproducible results.Plasma, heat inactivated serum or sera with pronounced hemolysis, icterus, lipemia or microbial growth are not suitable for testing and will not be processed

Collect 3 ml of whole blood into plain gel-free (neutral) serum tube- time critical - take to lab for processing of sample.",Plain tube - serum  (no Gel),"Women's and Children's Pathology Services, RCH","Very time dependent collection and processing required- 3 ml of whole blood into plain gel-free (neutral) serum tube required.

Take immediately to pathology and label as urgent","Total Haemolytic ComplementAlternative Names:Haemolytic Complement; TotalCH100CH50classical pathwayAH50Alternate pathwayMannose pathwayLaboratory:HaematologyTest Code:THCSpecimen Types:SerumContainer Types:Plain tube - serum  (no Gel)Adults Volume or Mass:3 mLCollection & Request Instructions:Collect at ambient temperatureSamples should be processed as “urgent” as Functional complement tests have precise collection requirements to ensure accurate and reproducible results.Plasma, heat inactivated serum or sera with pronounced hemolysis, icterus, lipemia or microbial growth are not suitable for testing and will not be processed

Collect 3 ml of whole blood into plain gel-free (neutral) serum tube- time critical - take to lab for processing of sample. 

 Transport Instructions between Sites and/or Laboratories:On IceTransport Instructions between Sites and/or Laboratories:

Dry ice

Transport the 3 aliquots to RCH on dry ice.

Do not allow samples to thaw before or during transport.Assay Frequency:FortnightlyExternal Laboratory:Women's and Children's Pathology Services, RCHAdditional Notes:Very time dependent collection and processing required- 3 ml of whole blood into plain gel-free (neutral) serum tube required.

Take immediately to pathology and label as urgent",Serum,THC,234,"On IceTransport Instructions between Sites and/or Laboratories:

Dry ice

Transport the 3 aliquots to RCH on dry ice.

Do not allow samples to thaw before or during transport."
Clinical Biochemistry,Calcium,"Collection & Request Instructions:Stasis must be avoided when taking blood as prolonged use of a torniquet gives falsely high values, as does haemolysis.Transport Instructions between Sites and/or Laboratories:Room TemperatureAdditional Notes:Reference Interval (",,"Stasis must be avoided when taking blood as prolonged use of a torniquet gives falsely high values, as does haemolysis.","SSTLithium Heparin (with Gel)Collection & Request Instructions:Stasis must be avoided when taking blood as prolonged use of a torniquet gives falsely high values, as does haemolysis.Transport Instructions between Sites and/or Laboratories:Room TemperatureAdditional Notes:Reference Interval (",,"Reference Interval (Adults 19 yrs +):   

2.10—2.60 mmol/L

Source:

RCPA/AACB Harmonised Reference Intervals from 13/7/2015.

Serum total calcium rises or falls approximately
0.018 mmol/L for each g/L change in serum albumin.

Corrected calcium (CCA) will be automatically calculated when serum albumin is also requested.

CCA = Calcium Lvl+(40-Albumin Lvl)*0.018

Age Related Reference Intervals:

< 1 yrs                     2.13- 2.75 mmol/L

1 yr - < 19 yrs      2.3-2.63 mmol/L","CalciumLaboratory:Clinical BiochemistryTest Code:CASpecimen Types:SerumPlasmaContainer Types:SSTLithium Heparin (with Gel)Collection & Request Instructions:Stasis must be avoided when taking blood as prolonged use of a torniquet gives falsely high values, as does haemolysis.Transport Instructions between Sites and/or Laboratories:Room TemperatureAdditional Notes:Reference Interval (Adults 19 yrs +):   

2.10—2.60 mmol/L

Source:

RCPA/AACB Harmonised Reference Intervals from 13/7/2015.

Serum total calcium rises or falls approximately
0.018 mmol/L for each g/L change in serum albumin.

Corrected calcium (CCA) will be automatically calculated when serum albumin is also requested.

CCA = Calcium Lvl+(40-Albumin Lvl)*0.018

Age Related Reference Intervals:

< 1 yrs                     2.13- 2.75 mmol/L

1 yr - < 19 yrs      2.3-2.63 mmol/L",SerumPlasma,CA,235,"CalciumLaboratory:Clinical BiochemistryTest Code:CASpecimen Types:SerumPlasmaContainer Types:SSTLithium Heparin (with Gel)Collection & Request Instructions:Stasis must be avoided when taking blood as prolonged use of a torniquet gives falsely high values, as does haemolysis."
